what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1293744629497
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1293744629498
started,bundle,org.eclipse.team.core,3.5.100.R36x_v20100825-0800,"org.eclipse.team.core",1293744629498
started,bundle,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui",1293744629499
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1293744629506
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1293744629506
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1293744629526
started,bundle,org.eclipse.ui.intro,3.4.0.v20100427,"org.eclipse.ui.intro",1293744629530
started,bundle,org.eclipse.ui.intro.universal,3.2.402.r36_v20100702,"org.eclipse.ui.intro.universal",1293744629530
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1293744629530
started,bundle,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.resources",1293744629530
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1293744629531
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1293744629531
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1293744629532
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1293744629538
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1293744629538
started,bundle,org.eclipse.wst.common.emf,1.2.1.v201008260500,"org.eclipse.wst.common.emf",1293744629539
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.2.v201008242000,"org.eclipse.wst.common.emfworkbench.integration",1293744629539
started,bundle,org.eclipse.wst.common.frameworks,1.2.0.v201003040800,"org.eclipse.wst.common.frameworks",1293744629540
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1293744629540
started,bundle,org.eclipse.wst.jsdt.core,1.1.2.v201009011528,"org.eclipse.wst.jsdt.core",1293744629540
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1293744629541
started,bundle,org.eclipse.wst.jsdt.ui,1.1.2.v201009010353,"org.eclipse.wst.jsdt.ui",1293744629541
started,bundle,org.eclipse.wst.web,1.1.401.v201007151900,"org.eclipse.wst.web",1293744629541
os,sysinfo,,,"win32",1293744629544
arch,sysinfo,,,"x86_64",1293744629544
ws,sysinfo,,,"win32",1293744629544
locale,sysinfo,,,"en_CA",1293744629544
processors,sysinfo,,,"8",1293744629544
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1293744629544
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1293744629544
java.specification.name,sysinfo,,,"Java Platform API Specification",1293744629544
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1293744629544
java.specification.version,sysinfo,,,"1.6",1293744629544
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1293744629544
java.version,sysinfo,,,"1.6.0_23",1293744629544
java.vm.info,sysinfo,,,"mixed mode",1293744629544
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1293744629544
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1293744629544
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1293744629544
java.vm.specification.version,sysinfo,,,"1.0",1293744629544
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1293744629544
java.vm.version,sysinfo,,,"19.0-b09",1293744629544
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1293744629609
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1293744629621
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1293744629723
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1293744629748
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1293744629775
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1293744629839
started,bundle,net.sf.eclipsensis.startup,0.9.8,"net.sf.eclipsensis.startup",1293744629839
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1293744630258
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1293744630258
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1293744630305
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1293744630359
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1293744630495
started,bundle,net.sf.eclipsensis,0.9.8,"net.sf.eclipsensis",1293744633475
started,bundle,org.eclipse.help.base,3.5.2.v201009090800,"org.eclipse.help.base",1293744633492
started,bundle,org.eclipse.draw2d,3.6.1.v20100913-2020,"org.eclipse.draw2d",1293744633564
started,bundle,org.eclipse.gef,3.6.1.v20100712-1224,"org.eclipse.gef",1293744633608
started,bundle,net.sf.eclipsensis.installoptions,0.9.8,"net.sf.eclipsensis.installoptions",1293744633613
started,bundle,net.sf.eclipsensis.update,0.9.8,"net.sf.eclipsensis.update",1293744633638
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1293744638126
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1293744638130
closed,view,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.internal.introview",1293744638192
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1293744650752
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1293744651863
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1293744656150
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1293744665204
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1293744665293
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1293744666112
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1293744666518
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.100.v201003112036,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1293744666542
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1293744666610
